Date,Settle
2019-01-15,893.25
2019-01-16,894.5
2019-01-17,907.75
2019-01-18,916.75
2019-01-22,909.25
2019-01-23,915.0
2019-01-24,916.0
2019-01-25,925.25
2019-01-28,923.25
2019-01-29,919.0
2019-01-30,921.0
2019-01-31,915.25
2019-02-01,917.75
2019-02-04,918.5
2019-02-05,920.25
2019-02-06,921.75
2019-02-07,913.25
2019-02-08,914.5
2019-02-11,905.0
2019-02-12,917.5
2019-02-13,916.5
2019-02-14,903.5
2019-02-15,907.5
2019-02-19,900.75
2019-02-20,902.5
2019-02-21,911.0
2019-02-22,910.25
2019-02-25,911.75
2019-02-26,903.75
2019-02-27,903.5
2019-02-28,897.5
2019-03-01,899.25
2019-03-04,903.25
2019-03-05,901.25
2019-03-06,889.75
2019-03-07,890.75
2019-03-08,883.75
2019-03-11,877.75
2019-03-12,884.75
2019-03-13,889.0
2019-03-14,889.5
2019-03-15,909.25
2019-03-18,905.75
2019-03-19,904.0
2019-03-20,906.0
2019-03-21,910.5
2019-03-22,903.75
2019-03-25,906.5
2019-03-26,900.75
2019-03-27,887.5
2019-03-28,889.5
2019-03-29,884.25
2019-04-01,895.5
2019-04-02,900.0
2019-04-03,898.75
2019-04-04,906.5
2019-04-05,899.0
2019-04-08,898.75
2019-04-09,898.75
2019-04-10,902.0
2019-04-11,895.25
2019-04-12,895.25
2019-04-15,898.75
2019-04-16,888.0
2019-04-17,879.0
2019-04-18,880.5
2019-04-22,877.0
2019-04-23,862.0
2019-04-24,855.25
2019-04-25,859.25
2019-04-26,853.75
2019-04-29,847.5
2019-04-30,841.25
2019-05-01,839.5
2019-05-02,830.5
2019-05-03,829.5
2019-05-06,817.5
2019-05-07,817.75
2019-05-08,814.25
2019-05-09,800.25
2019-05-10,797.0
2019-05-13,791.0
2019-05-14,817.75
2019-05-15,835.5
2019-05-16,839.75
2019-05-17,821.75
2019-05-20,831.75
2019-05-21,822.0
2019-05-22,828.5
2019-05-23,821.5
2019-05-24,829.75
2019-05-28,856.0
2019-05-29,872.0
2019-05-30,889.0
2019-05-31,877.75
2019-06-03,879.0
2019-06-04,881.75
2019-06-05,869.75
2019-06-06,868.75
2019-06-07,856.25
2019-06-10,858.5
2019-06-11,859.25
2019-06-12,878.0
2019-06-13,888.0
2019-06-14,896.75
2019-06-17,912.75
2019-06-18,913.5
2019-06-19,903.25
2019-06-20,915.5
2019-06-21,902.75
2019-06-24,909.0
2019-06-25,903.5
2019-06-26,894.25
2019-06-27,887.75
2019-06-28,899.75
2019-07-01,885.5
2019-07-02,876.25
2019-07-03,885.25
2019-07-05,872.25
2019-07-08,875.25
2019-07-09,882.75
2019-07-10,893.0
2019-07-11,896.25
2019-07-12,906.75
2019-07-15,901.75
2019-07-16,887.75
2019-07-17,882.5
2019-07-18,881.25
2019-07-19,901.5
2019-07-22,888.25
2019-07-23,885.75
2019-07-24,891.0
2019-07-25,882.5
2019-07-26,883.25
2019-07-29,885.75
2019-07-30,878.75
2019-07-31,864.0
2019-08-01,847.0
2019-08-02,850.25
2019-08-05,850.25
2019-08-06,847.75
2019-08-07,848.75
2019-08-08,865.0
2019-08-09,873.75
2019-08-12,861.5
2019-08-13,872.0
2019-08-14,861.0
2019-08-15,858.0
2019-08-16,867.25
2019-08-19,854.0
2019-08-20,855.75
2019-08-21,860.5
2019-08-22,856.0
2019-08-23,843.25
2019-08-26,853.75
2019-08-27,846.25
2019-08-28,852.75
2019-08-29,856.25
2019-08-30,857.0
2019-09-03,856.5
2019-09-04,862.5
2019-09-05,849.75
2019-09-06,845.0
2019-09-09,845.0
2019-09-10,859.25
2019-09-11,854.0
2019-09-12,883.0
2019-09-13,884.75
2019-09-16,900.0
2019-09-17,893.75
2019-09-18,888.75
2019-09-19,893.0
2019-09-20,882.75
2019-09-23,892.5
2019-09-24,894.25
2019-09-25,889.25
2019-09-26,888.5
2019-09-27,883.0
2019-09-30,906.0
2019-10-01,919.5
2019-10-02,913.75
2019-10-03,911.75
2019-10-04,916.25
2019-10-07,915.25
2019-10-08,920.5
2019-10-09,923.75
2019-10-10,923.5
2019-10-11,936.0
2019-10-14,940.5
2019-10-15,934.0
2019-10-16,928.0
2019-10-17,931.5
2019-10-18,934.0
2019-10-21,933.25
2019-10-22,934.0
2019-10-23,933.75
2019-10-24,933.25
2019-10-25,920.25
2019-10-28,920.75
2019-10-29,918.25
2019-10-30,916.0
2019-10-31,916.75
2019-11-01,924.25
2019-11-04,925.75
2019-11-05,921.75
2019-11-06,915.0
2019-11-07,925.0
2019-11-08,919.5
2019-11-11,905.0
2019-11-12,905.75
2019-11-13,902.5
2019-11-14,900.25
2019-11-15,918.25
2019-11-18,910.25
2019-11-19,911.5
2019-11-20,905.0
2019-11-21,901.0
2019-11-22,897.0
2019-11-25,892.5
2019-11-26,884.25
2019-11-27,882.0
2019-11-29,876.75
2019-12-02,870.5
2019-12-03,871.0
2019-12-04,878.0
2019-12-05,884.25
2019-12-06,889.5
2019-12-09,897.25
2019-12-10,901.25
2019-12-11,893.5
2019-12-12,898.25
2019-12-13,907.5
2019-12-16,922.0
2019-12-17,928.75
2019-12-18,928.5
2019-12-19,924.5
2019-12-20,928.25
2019-12-23,934.0
2019-12-24,936.5
2019-12-26,937.75
2019-12-27,929.5
2019-12-30,939.5
2019-12-31,943.0
2020-01-02,944.25
2020-01-03,930.5
2020-01-06,932.75
2020-01-07,935.0
2020-01-08,938.25
2020-01-09,933.75
2020-01-10,935.0
2020-01-13,929.25
2020-01-14,928.5
2020-01-15,928.75
2020-01-16,924.0
2020-01-17,929.75
2020-01-21,916.0
2020-01-22,913.75
2020-01-23,909.5
2020-01-24,902.0
2020-01-27,897.25
2020-01-28,895.0
2020-01-29,893.0
2020-01-30,876.25
2020-01-31,872.5
2020-02-03,877.0
2020-02-04,879.5
2020-02-05,880.0
2020-02-06,881.0
2020-02-07,882.0
2020-02-10,884.25
2020-02-11,884.75
2020-02-12,892.5
2020-02-13,896.25
2020-02-14,893.75
2020-02-18,892.25
2020-02-19,897.25
2020-02-20,892.75
2020-02-21,890.5
2020-02-24,874.25
2020-02-25,879.0
2020-02-26,881.0
2020-02-27,886.25
2020-02-28,883.5
2020-03-02,890.5
2020-03-03,893.0
2020-03-04,898.75
2020-03-05,889.0
2020-03-06,883.25
2020-03-09,863.5
2020-03-10,873.0
2020-03-11,867.75
2020-03-12,855.0
2020-03-13,846.75
2020-03-16,821.75
2020-03-17,824.25
2020-03-18,825.5
2020-03-19,843.25
2020-03-20,862.5
2020-03-23,884.0
2020-03-24,886.75
2020-03-25,881.5
2020-03-26,880.25
2020-03-27,881.5
2020-03-30,882.25
2020-03-31,886.0
2020-04-01,862.75
2020-04-02,858.75
2020-04-03,854.25
2020-04-06,855.5
2020-04-07,854.75
2020-04-08,854.5
2020-04-09,863.5
2020-04-13,854.25
2020-04-14,847.0
2020-04-15,842.0
2020-04-16,836.75
2020-04-17,832.5
2020-04-20,826.5
2020-04-21,830.75
2020-04-22,834.75
2020-04-23,839.25
2020-04-24,832.25
2020-04-27,829.0
2020-04-28,826.0
2020-04-29,831.75
2020-04-30,850.25
2020-05-01,847.25
2020-05-04,834.0
2020-05-05,838.25
2020-05-06,830.5
2020-05-07,841.5
2020-05-08,848.75
2020-05-11,852.25
2020-05-12,849.25
2020-05-13,836.0
2020-05-14,835.25
2020-05-15,838.5
2020-05-18,845.0
2020-05-19,842.5
2020-05-20,846.75
2020-05-21,835.0
2020-05-22,833.25
2020-05-26,847.0
2020-05-27,848.5
2020-05-28,847.0
2020-05-29,840.75
2020-06-01,840.5
2020-06-02,850.5
2020-06-03,857.5
2020-06-04,867.75
2020-06-05,867.75
2020-06-08,864.75
2020-06-09,863.25
2020-06-10,865.5
2020-06-11,866.0
2020-06-12,871.25
2020-06-15,869.0
2020-06-16,867.0
2020-06-17,871.25
2020-06-18,873.0
2020-06-19,876.5
2020-06-22,876.25
2020-06-23,875.0
2020-06-24,870.75
2020-06-25,869.25
2020-06-26,865.0
2020-06-29,866.5
2020-06-30,884.25
2020-07-01,893.75
2020-07-02,892.5
2020-07-06,898.5
2020-07-07,895.25
2020-07-08,894.75
2020-07-09,898.25
2020-07-10,891.5
2020-07-13,876.5
2020-07-14,882.25
2020-07-15,886.25
2020-07-16,893.5
2020-07-17,898.0
2020-07-20,903.0
2020-07-21,896.5
2020-07-22,899.25
2020-07-23,906.25
2020-07-24,904.75
2020-07-27,906.5
2020-07-28,896.75
2020-07-29,891.5
2020-07-30,891.75
2020-07-31,897.5
2020-08-03,897.5
2020-08-04,883.75
2020-08-05,882.0
2020-08-06,880.75
2020-08-07,870.25
2020-08-10,876.5
2020-08-11,878.0
2020-08-12,890.5
2020-08-13,907.25
2020-08-14,903.5
2020-08-17,912.5
2020-08-18,912.0
2020-08-19,912.5
2020-08-20,903.0
2020-08-21,900.75
2020-08-24,899.75
2020-08-25,913.75
2020-08-26,919.5
2020-08-27,937.25
2020-08-28,950.5
2020-08-31,951.25
2020-09-01,955.0
2020-09-02,962.5
2020-09-03,968.75
2020-09-04,969.5
2020-09-08,973.0
2020-09-09,979.75
2020-09-10,985.0
2020-09-11,1005.5
2020-09-14,1019.25
2020-09-15,991.5
2020-09-16,1011.25
2020-09-17,1028.5
2020-09-18,1043.5
2020-09-21,1022.5
2020-09-22,1019.75
2020-09-23,1014.5
2020-09-24,1000.0
2020-09-25,1002.5
2020-09-28,996.25
2020-09-29,993.0
2020-09-30,1023.5
2020-10-01,1023.5
2020-10-02,1020.75
2020-10-05,1021.5
2020-10-06,1044.0
2020-10-07,1051.0
2020-10-08,1050.0
2020-10-09,1065.5
2020-10-12,1033.75
2020-10-13,1044.0
2020-10-14,1056.25
2020-10-15,1062.25
2020-10-16,1050.0
2020-10-19,1054.25
2020-10-20,1064.0
2020-10-21,1072.0
2020-10-22,1073.75
2020-10-23,1083.75
2020-10-26,1087.75
2020-10-27,1082.25
2020-10-28,1057.25
2020-10-29,1051.75
2020-10-30,1056.5
2020-11-02,1050.75
2020-11-03,1059.0
2020-11-04,1079.0
2020-11-05,1101.75
2020-11-06,1098.5
2020-11-09,1105.0
2020-11-10,1138.25
2020-11-11,1143.25
2020-11-12,1137.0
2020-11-13,1141.5
2020-11-16,1153.5
2020-11-17,1169.75
2020-11-18,1175.75
2020-11-19,1177.5
2020-11-20,1181.0
2020-11-23,1191.5
2020-11-24,1191.25
2020-11-25,1184.0
2020-11-27,1191.75
2020-11-30,1168.5
2020-12-01,1162.0
2020-12-02,1153.0
2020-12-03,1168.25
2020-12-04,1163.0
2020-12-07,1158.5
2020-12-08,1145.75
2020-12-09,1158.5
2020-12-10,1152.75
2020-12-11,1160.5
2020-12-14,1169.5
2020-12-15,1184.25
2020-12-16,1183.75
2020-12-17,1201.25
2020-12-18,1220.0
2020-12-21,1243.25
2020-12-22,1247.25
2020-12-23,1258.75
2020-12-24,1263.5
2020-12-28,1255.25
2020-12-29,1295.5
2020-12-30,1303.75
2020-12-31,1315.25
2021-01-04,1316.5
2021-01-05,1350.0
2021-01-06,1365.25
2021-01-07,1360.5
2021-01-08,1375.75
2021-01-11,1374.5
2021-01-12,1422.0
2021-01-13,1411.0
2021-01-14,1436.5
2021-01-15,1416.75
2021-01-19,1385.75
2021-01-20,1369.5
2021-01-21,1370.25
2021-01-22,1311.75
2021-01-25,1343.5
2021-01-26,1370.25
2021-01-27,1374.75
2021-01-28,1353.25
2021-01-29,1370.0
2021-02-01,1365.25
2021-02-02,1354.75
2021-02-03,1371.25
2021-02-04,1372.5
2021-02-05,1366.75
2021-02-08,1387.75
2021-02-09,1401.75
2021-02-10,1354.0
2021-02-11,1367.5
2021-02-12,1372.0
2021-02-16,1384.75
2021-02-17,1383.75
2021-02-18,1375.0
2021-02-19,1377.25
2021-02-22,1383.75
2021-02-23,1406.0
2021-02-24,1423.75
2021-02-25,1406.0
2021-02-26,1405.25
2021-03-01,1392.5
2021-03-02,1414.0
2021-03-03,1410.75
2021-03-04,1415.25
2021-03-05,1434.25
2021-03-08,1437.75
2021-03-09,1441.25
2021-03-10,1411.5
2021-03-11,1415.5
2021-03-12,1415.75
2021-03-15,1419.5
2021-03-16,1423.25
2021-03-17,1417.75
2021-03-18,1392.25
2021-03-19,1416.25
2021-03-22,1417.5
2021-03-23,1423.25
2021-03-24,1432.75
2021-03-25,1414.25
2021-03-26,1400.5
2021-03-29,1393.0
2021-03-30,1366.75
2021-03-31,1436.75
2021-04-01,1402.0
2021-04-05,1412.75
2021-04-06,1418.75
2021-04-07,1408.75
2021-04-08,1415.25
2021-04-09,1403.0
2021-04-12,1382.0
2021-04-13,1389.5
2021-04-14,1410.0
2021-04-15,1418.25
2021-04-16,1433.25
2021-04-19,1449.75
2021-04-20,1472.0
2021-04-21,1497.25
2021-04-22,1533.25
2021-04-23,1539.75
2021-04-26,1569.0
2021-04-27,1549.75
2021-04-28,1557.75
2021-04-29,1542.5
2021-04-30,1571.0
2021-05-03,1560.25
2021-05-04,1577.0
2021-05-05,1582.0
2021-05-06,1605.5
2021-05-07,1621.0
2021-05-10,1620.0
2021-05-11,1637.5
2021-05-12,1660.5
2021-05-13,1612.25
2021-05-14,1603.75
2021-05-17,1587.5
2021-05-18,1574.25
2021-05-19,1538.25
2021-05-20,1533.25
2021-05-21,1526.25
2021-05-24,1522.75
2021-05-25,1511.75
2021-05-26,1503.5
2021-05-27,1537.0
2021-05-28,1530.5
2021-06-01,1548.5
2021-06-02,1562.5
2021-06-03,1549.25
2021-06-04,1583.75
2021-06-08,1580.0
2021-06-09,1562.5
